No_nota   ,Tip_not      ,Fecha     ,Cve_factu,No_fac    ,Tot_nota            ,Saldo               ,Nom_cte                                                                                                                                                                                                                                                       ,No_cliente,No_estado ,Iva                 ,Ieps                ,Retisrcre           ,Retiva_not          ,Impto1              ,Impto2              ,Timpto1,Timpto2,Otrosimptos,Subtotal            ,Descuento           ,Cve_mon   ,Des_mon                                                                         ,Tip_cam   ,Cve_age,Nom_age                                 ,Cve_ncre    ,Cve_mov   ,Num_cuenta,Afeban,No_ped    ,Suc_ped,No_rem    ,Suc_rem,Cse_prod  ,Cve_prod            ,Desc_prod                               ,New_med,Unidad,Cantidad            ,Valor_prod          ,Dcto1       ,Dcto2       ,Costo_prom          ,Lote                          ,Ref_lote                 ,Desc_med                                ,Lote_ext001                   
N116      ,Dev. Just.   ,28/05/2014,FAR      ,419,4862.38,0,SUPER MAYOREO NATURISTA S.A. DE C.V.                                                                                                                                                                                                                          ,61,Pagada    ,670.67352,0,0,0,0,0,0,0,0,4191.7095,3908.2905,1,PESOS                                                                           ,12.8772,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,DI        ,51CPLF01            ,BIO-LACTOFRIZ /30 CAPS.                 ,       ,PZA   ,150,54,0,0,2020.315751,14C0034                       ,                         ,                                        ,14C0034                       
N117      ,Dev. Just.   ,28/05/2014,FAR      ,402,5012.77,0,SUPER MAYOREO NATURISTA S.A. DE C.V.                                                                                                                                                                                                                          ,61,Pagada    ,691.416,0,0,0,0,0,0,0,0,4321.35,3778.65,1,PESOS                                                                           ,12.8772,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,DI        ,51CPLF01            ,BIO-LACTOFRIZ /30 CAPS.                 ,       ,PZA   ,150,54,3,0,2020.315751,14C0034                       ,                         ,                                        ,14C0034                       
N118      ,Dev. Just.   ,28/05/2014,FAR      ,427,1386.83,0,SUPER MAYOREO NATURISTA S.A. DE C.V.                                                                                                                                                                                                                          ,61,Pagada    ,0,0,0,0,0,0,0,0,0,1386.8332,1212.6668,1,PESOS                                                                           ,12.8772,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,75,34.66,0,0,1181.061392,14B0011                       ,                         ,                                        ,14C0031                       
N118      ,Dev. Just.   ,28/05/2014,FAR      ,427,4789.98,0,SUPER MAYOREO NATURISTA S.A. DE C.V.                                                                                                                                                                                                                          ,61,Pagada    ,660.6864,0,0,0,0,0,0,0,0,4129.29,3610.71,1,PESOS                                                                           ,12.8772,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,HR        ,51TBPF01            ,PLENIFORM 40 /30 TABS.                  ,       ,PZA   ,180,43,0,0,1291.098497,14C0030                       ,                         ,                                        ,14C0031                       
N118      ,Dev. Just.   ,28/05/2014,FAR      ,427,5984.13,0,SUPER MAYOREO NATURISTA S.A. DE C.V.                                                                                                                                                                                                                          ,61,Pagada    ,825.397056,0,0,0,0,0,0,0,0,5158.7316,4510.8684,1,PESOS                                                                           ,12.8772,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51CPPS01            ,PASSITILX-3 /30 CAPS.                   ,       ,PZA   ,240,40.29,0,0,1800.101134,14D0051                       ,                         ,                                        ,14C0031                       
N118      ,Dev. Just.   ,28/05/2014,FAR      ,427,3713.16,0,SUPER MAYOREO NATURISTA S.A. DE C.V.                                                                                                                                                                                                                          ,61,Pagada    ,512.16,0,0,0,0,0,0,0,0,3201,2799,1,PESOS                                                                           ,12.8772,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,SUPLEMENTO,51TBME01            ,MEM-EH C/30 TABS                        ,       ,PIEZA ,150,40,0,0,1101.946062,14C0031                       ,                         ,                                        ,14C0031                       
N123      ,Dev. Just.   ,04/06/2014,FAR      ,194,2110.97,0,SERVICIOS MULTIPLES ROCHA S.A. DE C.V.                                                                                                                                                                                                                        ,82,Pagada    ,291.168,0,0,0,0,0,0,0,0,1819.8,1213.2,1,PESOS                                                                           ,12.9447,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBAF01            ,ARTRIFORTE /30 TABS.                    ,       ,PZA   ,50,60.66,0,0,821.461705,14B0009                       ,                         ,                                        ,14B0009                       
N127      ,Dev. Just.   ,16/06/2014,FAR      ,463,1079.91,0,BAMI NATURISTA S. DE R.L. DE C.V.                                                                                                                                                                                                                             ,174,Pagada    ,148.9536,0,0,0,0,0,0,0,0,930.96,620.64,1,PESOS                                                                           ,13.0164,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,PRODIVA   ,55GLCI01            ,CASTAÑO DE INDIAS GEL 240 GRS.          ,       ,PZA   ,40,38.79,0,0,419.1746144,CAG14D0018                    ,                         ,                                        ,CAG14D0018                    
N128      ,Dev. Just.   ,16/06/2014,FAR      ,380,2777.04,0,SON´S NATURAL S.A. DE C.V.                                                                                                                                                                                                                                    ,39,Pagada    ,383.04,0,0,0,0,0,0,0,0,2394,1596,1,PESOS                                                                           ,13.0164,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VI        ,51CPVF01            ,BIOMIVIT 400 30 / CAPS                  ,       ,PZA   ,100,39.9,0,0,561.794714,14C0039                       ,                         ,                                        ,14C0039                       
N129      ,Dev. Just.   ,27/06/2014,FAR      ,34,1096.2,0,"COMERCIALIZADORA MEDIMAX, S.A. DE C.V.                                                                                                                                                                                                                        ",202,Pagada    ,151.2,0,0,0,0,0,0,0,0,945,405,1,PESOS                                                                           ,13.0323,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,PRODIVA   ,55GLCI01            ,CASTAÑO DE INDIAS GEL 240 GRS.          ,       ,PZA   ,30,45,0,0,329.1,CAG13K0076                    ,                         ,                                        ,13L0112                       
N129      ,Dev. Just.   ,27/06/2014,FAR      ,34,3556.15,0,"COMERCIALIZADORA MEDIMAX, S.A. DE C.V.                                                                                                                                                                                                                        ",202,Pagada    ,490.504,0,0,0,0,0,0,0,0,3065.65,1313.85,1,PESOS                                                                           ,13.0323,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,CK        ,51CPRK01            ,RESTIK  /30 TABS.                       ,       ,PZA   ,50,87.59,0,0,1297.5,13K0099                       ,                         ,                                        ,13L0112                       
N129      ,Dev. Just.   ,27/06/2014,FAR      ,34,1315.44,0,"COMERCIALIZADORA MEDIMAX, S.A. DE C.V.                                                                                                                                                                                                                        ",202,Pagada    ,181.44,0,0,0,0,0,0,0,0,1134,486,1,PESOS                                                                           ,13.0323,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,DI        ,51CPLF01            ,BIO-LACTOFRIZ /30 CAPS.                 ,       ,PZA   ,30,54,0,0,441,13L0113                       ,                         ,                                        ,13L0112                       
N129      ,Dev. Just.   ,27/06/2014,FAR      ,34,5963.33,0,"COMERCIALIZADORA MEDIMAX, S.A. DE C.V.                                                                                                                                                                                                                        ",202,Pagada    ,822.528,0,0,0,0,0,0,0,0,5140.8,2203.2,1,PESOS                                                                           ,13.0323,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBCF02            ,CONDROFLEX PLUSS C/30 TABS.             ,       ,PZA   ,150,48.96,0,0,2064.847821,13L0111                       ,                         ,                                        ,13L0112                       
N129      ,Dev. Just.   ,27/06/2014,FAR      ,34,852.6,0,"COMERCIALIZADORA MEDIMAX, S.A. DE C.V.                                                                                                                                                                                                                        ",202,Pagada    ,117.6,0,0,0,0,0,0,0,0,735,315,1,PESOS                                                                           ,13.0323,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,CP        ,51TBCG01            ,COLAGENER C/60 TABS.                    ,       ,PZA   ,30,35,0,0,382.3172013,13L0110                       ,                         ,                                        ,13L0112                       
N129      ,Dev. Just.   ,27/06/2014,FAR      ,34,2598.4,0,"COMERCIALIZADORA MEDIMAX, S.A. DE C.V.                                                                                                                                                                                                                        ",202,Pagada    ,358.4,0,0,0,0,0,0,0,0,2240,960,1,PESOS                                                                           ,13.0323,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51TBQE01            ,QUITA STRESS C/24 CAPS.                 ,       ,PZA   ,100,32,0,0,552,13I0079                       ,                         ,                                        ,13L0112                       
N129      ,Dev. Just.   ,27/06/2014,FAR      ,34,1120.56,0,"COMERCIALIZADORA MEDIMAX, S.A. DE C.V.                                                                                                                                                                                                                        ",202,Pagada    ,154.56,0,0,0,0,0,0,0,0,966,414,1,PESOS                                                                           ,13.0323,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBVT01            ,VARISAN C/100 TABS.                     ,       ,PZA   ,30,46,0,0,195.9,VT13K0074                     ,                         ,                                        ,13L0112                       
N129      ,Dev. Just.   ,27/06/2014,FAR      ,34,3197.25,0,"COMERCIALIZADORA MEDIMAX, S.A. DE C.V.                                                                                                                                                                                                                        ",202,Pagada    ,441,0,0,0,0,0,0,0,0,2756.25,1181.25,1,PESOS                                                                           ,13.0323,1,MIRIAM DURAN                            ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBTM01            ,TAMARIN-LX /30 CAPS.                    ,       ,PZA   ,150,26.25,0,0,1031.134512,13L0112                       ,                         ,                                        ,13L0112                       
N131      ,Dev. Just.   ,01/07/2014,FAR      ,489,2992.8,0,OMAR ELEAZAR ALVARADO PACHECO                                                                                                                                                                                                                                 ,251,Pagada    ,412.8,0,0,0,0,0,0,0,0,2580,1720,1,PESOS                                                                           ,13.0002,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,HR        ,51TBPF01            ,PLENIFORM 40 /30 TABS.                  ,       ,PZA   ,100,43,0,0,717.276943,14C0030                       ,                         ,                                        ,14C0046                       
N131      ,Dev. Just.   ,01/07/2014,FAR      ,489,3188.38,0,OMAR ELEAZAR ALVARADO PACHECO                                                                                                                                                                                                                                 ,251,Pagada    ,439.776,0,0,0,0,0,0,0,0,2748.6,1832.4,1,PESOS                                                                           ,13.0002,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBCI01            ,CASTAN DE INN PLUSS C/50 TABS.          ,       ,PZA   ,100,45.81,0,0,547.081303,CAS14D0024                    ,                         ,                                        ,14C0046                       
N131      ,Dev. Just.   ,01/07/2014,FAR      ,489,2296.8,0,OMAR ELEAZAR ALVARADO PACHECO                                                                                                                                                                                                                                 ,251,Pagada    ,316.8,0,0,0,0,0,0,0,0,1980,1320,1,PESOS                                                                           ,13.0002,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,VR        ,51JBDB02            ,DIABEBRON JARABE 120 ML.                ,       ,PZA   ,100,33,0,0,842.002982,14C0046                       ,                         ,                                        ,14C0046                       
N153      ,Dev. Just.   ,07/07/2014,FAR      ,579,16515.79,0,FARMACEUTICOS TENORIO S.A. DE C.V.                                                                                                                                                                                                                            ,69,Pagada    ,2278.03968,0,0,0,0,0,0,0,0,14237.748,9491.832,1,PESOS                                                                           ,12.9768,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TNCI02            ,CASTAN DE INN /50 TABS.                 ,       ,PZA   ,518,45.81,0,0,3351.306019,14B0027                       ,                         ,                                        ,14C0036                       
N153      ,Dev. Just.   ,07/07/2014,FAR      ,579,0,0,FARMACEUTICOS TENORIO S.A. DE C.V.                                                                                                                                                                                                                            ,69,Pagada    ,0.00008,0,0,0,0,0,0,0,0,0.0005,0.0004,1,PESOS                                                                           ,12.9768,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TNCI02            ,CASTAN DE INN /50 TABS.                 ,       ,PZA   ,888,0.000001,0,0,5520.125904,12K0160-R                     ,                         ,                                        ,14C0036                       
N153      ,Dev. Just.   ,07/07/2014,FAR      ,579,127343.74,0,FARMACEUTICOS TENORIO S.A. DE C.V.                                                                                                                                                                                                                            ,69,Pagada    ,17564.65344,0,0,0,0,0,0,0,0,109779.084,73186.056,1,PESOS                                                                           ,12.9768,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TNCI02            ,CASTAN DE INN /50 TABS.                 ,       ,PZA   ,3994,45.81,0,0,23351.4425,14C0036                       ,                         ,                                        ,14C0036                       
N156      ,Dev. Just.   ,09/07/2014,FAR      ,676,1655.09,0,DISTRIBUIDORA LEVIC S. DE R.L. DE C.V.                                                                                                                                                                                                                        ,64,Pagada    ,228.288,0,0,0,0,0,0,0,0,1426.8,0,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,PRODIVA   ,55GLVG01            ,VARISAN GEL 240 GR.                     ,       ,PZA   ,60,23.78,0,0,750.13782,VG14F0041                     ,                         ,                                        ,VG14F0041                     
N157      ,Dev. Just.   ,09/07/2014,FAR      ,678,3310.18,0,DISTRIBUIDORA LEVIC S. DE R.L. DE C.V.                                                                                                                                                                                                                        ,64,Pagada    ,456.576,0,0,0,0,0,0,0,0,2853.6,0,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,PRODIVA   ,55GLVG01            ,VARISAN GEL 240 GR.                     ,       ,PZA   ,120,23.78,0,0,1500.27564,VG14F0041                     ,                         ,                                        ,VG14F0041                     
N158      ,Dev. Just.   ,09/07/2014,FAR      ,696,1734.2,0,ALMA GABRIELA BURGOS JAURENA                                                                                                                                                                                                                                  ,181,Pagada    ,239.2,0,0,0,0,0,0,0,0,1495,805,1,PESOS                                                                           ,13.0006,9,JUAN CARLOS RUIZ                        ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBVT01            ,VARISAN C/100 TABS.                     ,       ,PZA   ,50,46,0,0,317.06335,VT14F0040                     ,                         ,                                        ,VT14F0040                     
N159      ,Dev. Just.   ,09/07/2014,FAR      ,661,1019.06,0,DISTRIBUIDORA LEVIC S. DE R.L. DE C.V.                                                                                                                                                                                                                        ,64,Pagada    ,140.56,0,0,0,0,0,0,0,0,878.5,0,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBPK01            ,PROBIO KIDS / 30 TABS.                  ,       ,PZA   ,50,17.57,0,0,276,13J0089                       ,                         ,                                        ,14F0074                       
N159      ,Dev. Just.   ,09/07/2014,FAR      ,661,2804.18,0,DISTRIBUIDORA LEVIC S. DE R.L. DE C.V.                                                                                                                                                                                                                        ,64,Pagada    ,386.784,0,0,0,0,0,0,0,0,2417.4,0,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51CPPS01            ,PASSITILX-3 /30 CAPS.                   ,       ,PZA   ,120,20.145,0,0,900.0505668,14D0051                       ,                         ,                                        ,14F0074                       
N159      ,Dev. Just.   ,09/07/2014,FAR      ,661,2668,0,DISTRIBUIDORA LEVIC S. DE R.L. DE C.V.                                                                                                                                                                                                                        ,64,Pagada    ,368,0,0,0,0,0,0,0,0,2300,0,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBVT01            ,VARISAN C/100 TABS.                     ,       ,PZA   ,100,23,0,0,634.1267,VT14E0032                     ,                         ,                                        ,14F0074                       
N159      ,Dev. Just.   ,09/07/2014,FAR      ,661,7864.66,0,DISTRIBUIDORA LEVIC S. DE R.L. DE C.V.                                                                                                                                                                                                                        ,64,Pagada    ,1084.7808,0,0,0,0,0,0,0,0,6779.88,0,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBCI01            ,CASTAN DE INN PLUSS C/50 TABS.          ,       ,PZA   ,296,22.905,0,0,2312.971824,CAS14E0037                    ,                         ,                                        ,14F0074                       
N159      ,Dev. Just.   ,09/07/2014,FAR      ,661,462.84,0,DISTRIBUIDORA LEVIC S. DE R.L. DE C.V.                                                                                                                                                                                                                        ,64,Pagada    ,63.84,0,0,0,0,0,0,0,0,399,0,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VI        ,51CPAB01            ,VITABIOM /30 CAPS.                      ,       ,PZA   ,20,19.95,0,0,213.1552,14F0074                       ,                         ,                                        ,14F0074                       
N160      ,Dev. Just.   ,09/07/2014,FAR      ,556,2045.87,0,"PHARMA CLUB, S.A. DE C.V.                                                                                                                                                                                                                                     ",233,Pagada    ,282.1896,0,0,0,0,0,0,0,0,1763.685,1443.015,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TNCI02            ,CASTAN DE INN /50 TABS.                 ,       ,PZA   ,70,45.81,0,0,439.6,13K0094                       ,                         ,                                        ,13K0094                       
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,1255.93,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,173.232,0,0,0,0,0,0,0,0,1082.7,360.9,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,CP        ,51GRCG01            ,COLAGENER 10 POLVO C/180 GR.            ,       ,PZA   ,18,80.2,0,0,531,13J0088                       ,                         ,                                        ,1.30E+46
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,274.05,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,37.8,0,0,0,0,0,0,0,0,236.25,78.75,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBTM01            ,TAMARIN-LX /30 CAPS.                    ,       ,PZA   ,12,26.25,0,0,82.49076096,13L0112                       ,                         ,                                        ,1.30E+46
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,689.04,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,95.04,0,0,0,0,0,0,0,0,594,198,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,DI        ,51CPDG02            ,DIGELAC C/30 CAPS.                      ,       ,PZA   ,24,33,0,0,169.92,13K0101                       ,                         ,                                        ,1.30E+46
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,1325.88,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,182.88,0,0,0,0,0,0,0,0,1143,381,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,CK        ,51CPRK01            ,RESTIK  /30 TABS.                       ,       ,PZA   ,15,101.6,0,0,389.25,13K0099                       ,                         ,                                        ,1.30E+46
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,1096.2,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,151.2,0,0,0,0,0,0,0,0,945,315,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,CP        ,51TBCG01            ,COLAGENER C/60 TABS.                    ,       ,PZA   ,36,35,0,0,462.96,13L0110                       ,                         ,                                        ,1.30E+46
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,916.66,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,126.4356,0,0,0,0,0,0,0,0,790.2225,263.4075,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBCI01            ,CASTAN DE INN PLUSS C/50 TABS.          ,       ,PZA   ,23,45.81,0,0,186.76,CAS13L0079                    ,                         ,                                        ,1.30E+46
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,161.19,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,22.2336,0,0,0,0,0,0,0,0,138.96,46.32,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,PR        ,51TBVE01            ,VIT E FOLIC 30 TABS.                    ,       ,PZA   ,6,30.88,0,0,35.16,13I0077                       ,                         ,                                        ,1.30E+46
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,129.98,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,0,0,0,0,0,0,0,0,0,129.975,43.325,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,5,34.66,0,0,89.3,1.30E+49,                         ,                                        ,1.30E+46
N161      ,Dev. Just.   ,09/07/2014,FAR      ,16,208.8,0,FARMACIA PARIS S.A. DE C.V. (INCOBRABLE)                                                                                                                                                                                                                      ,188,Pagada    ,28.8,0,0,0,0,0,0,0,0,180,60,1,PESOS                                                                           ,13.0006,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VR        ,51TBCE01            ,CITRICE - EQ /60 TABS.                  ,       ,PZA   ,4,60,0,0,44.36,1.30E+46,                         ,                                        ,1.30E+46
N162      ,Dev. Just.   ,14/07/2014,FAR      ,85,3089.5,0,"GRUPO CANAVE, S.A. DE C.V.                                                                                                                                                                                                                                    ",60,Pagada    ,426.1376,0,0,0,0,0,0,0,0,2663.36,1141.44,1,PESOS                                                                           ,12.985,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,PRODIVA   ,55GLVG01            ,VARISAN GEL 240 GR.                     ,       ,PZA   ,80,47.56,0,0,986.0206856,VG14A0001                     ,                         ,                                        ,VG14A0001                     
N163      ,Dev. Just.   ,14/07/2014,FAR      ,575,2216.52,0,"CENTRO DE DISTRIBUCION SAEF, SA DE CV. (INCOBRABLES)                                                                                                                                                                                                          ",240,Pagada    ,305.7264,0,0,0,0,0,0,0,0,1910.79,818.91,1,PESOS                                                                           ,12.985,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBAF01            ,ARTRIFORTE /30 TABS.                    ,       ,PZA   ,45,60.66,0,0,746.5829225,14C0032                       ,                         ,                                        ,14C0047                       
N163      ,Dev. Just.   ,14/07/2014,FAR      ,575,916.55,0,"CENTRO DE DISTRIBUCION SAEF, SA DE CV. (INCOBRABLES)                                                                                                                                                                                                          ",240,Pagada    ,126.42,0,0,0,0,0,0,0,0,790.125,338.625,1,PESOS                                                                           ,12.985,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBTM01            ,TAMARIN-LX /30 CAPS.                    ,       ,PZA   ,43,26.25,0,0,286.68315,1.40E+60,                         ,                                        ,14C0047                       
N163      ,Dev. Just.   ,14/07/2014,FAR      ,575,1828.75,0,"CENTRO DE DISTRIBUCION SAEF, SA DE CV. (INCOBRABLES)                                                                                                                                                                                                          ",240,Pagada    ,252.24192,0,0,0,0,0,0,0,0,1576.512,675.648,1,PESOS                                                                           ,12.985,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBCF02            ,CONDROFLEX PLUSS C/30 TABS.             ,       ,PZA   ,46,48.96,0,0,601.98866,14D0055                       ,                         ,                                        ,14C0047                       
N163      ,Dev. Just.   ,14/07/2014,FAR      ,575,94.19,0,"CENTRO DE DISTRIBUCION SAEF, SA DE CV. (INCOBRABLES)                                                                                                                                                                                                          ",240,Pagada    ,12.992,0,0,0,0,0,0,0,0,81.2,34.8,1,PESOS                                                                           ,12.985,2,JAVIER VIZCARRA                         ,            ,0,0,F     ,0,       ,0,       ,VI        ,51TBBC01            ,B-COMPLEX/30 TABS.                      ,       ,PZA   ,4,29,0,0,19.18545944,14C0047                       ,                         ,                                        ,14C0047                       
N164      ,Dev. Just.   ,15/07/2014,FAR      ,501,2022.33,0,"BIOMIRAL, S.A. DE C.V.                                                                                                                                                                                                                                        ",255,Pagada    ,278.9424,0,0,0,0,0,0,0,0,1743.39,0,1,PESOS                                                                           ,12.9755,4,DIRECTO                                 ,            ,0,0,F     ,0,       ,0,       ,CAJA      ,MES-0265            ,CAJA VITABIOM Q10 30 CAPSULAS           ,       ,PZA   ,1761,0.99,0,0,1743.39,ME13142                       ,                         ,                                        ,ME12145                       
N164      ,Dev. Just.   ,15/07/2014,FAR      ,501,5075.83,0,"BIOMIRAL, S.A. DE C.V.                                                                                                                                                                                                                                        ",255,Pagada    ,700.114416,0,0,0,0,0,0,0,0,4375.7151,0,1,PESOS                                                                           ,12.9755,4,DIRECTO                                 ,            ,0,0,F     ,0,       ,0,       ,CAPSULA   ,MEP-0061            ,CAPSULA # 0  NATURAL/ NATURAL           ,       ,PZA   ,89450,0.048918,0,0,4379.103466,MP14115                       ,                         ,                                        ,ME12145                       
N164      ,Dev. Just.   ,15/07/2014,FAR      ,501,2.92,0,"BIOMIRAL, S.A. DE C.V.                                                                                                                                                                                                                                        ",255,Pagada    ,0.4032,0,0,0,0,0,0,0,0,2.52,0,1,PESOS                                                                           ,12.9755,4,DIRECTO                                 ,            ,0,0,F     ,0,       ,0,       ,FRASCO    ,MEP-0109            ,FRASCO PASTILLERO 80 mL R-33            ,       ,PZA   ,4,0.63,0,0,2.52,ME14049                       ,                         ,                                        ,ME12145                       
N164      ,Dev. Just.   ,15/07/2014,FAR      ,501,3712,0,"BIOMIRAL, S.A. DE C.V.                                                                                                                                                                                                                                        ",255,Pagada    ,512,0,0,0,0,0,0,0,0,3200,0,1,PESOS                                                                           ,12.9755,4,DIRECTO                                 ,            ,0,0,F     ,0,       ,0,       ,CAPSULA   ,MEP-0139            ,CAPSULA AZUL BCO. CERO                  ,       ,PZA   ,64000,0.05,0,0,3200,MP13243                       ,                         ,                                        ,ME12145                       
N164      ,Dev. Just.   ,15/07/2014,FAR      ,501,458.43,0,"BIOMIRAL, S.A. DE C.V.                                                                                                                                                                                                                                        ",255,Pagada    ,63.232,0,0,0,0,0,0,0,0,395.2,0,1,PESOS                                                                           ,12.9755,4,DIRECTO                                 ,            ,0,0,F     ,0,       ,0,       ,CAJA      ,MES-0147            ,CAJA B-COMPLEX C/30 TABS                ,       ,CAJA  ,260,1.52,0,0,395.2,ME12115                       ,                         ,                                        ,ME12145                       
N164      ,Dev. Just.   ,15/07/2014,FAR      ,501,749.7,0,"BIOMIRAL, S.A. DE C.V.                                                                                                                                                                                                                                        ",255,Pagada    ,103.4064,0,0,0,0,0,0,0,0,646.29,0,1,PESOS                                                                           ,12.9755,4,DIRECTO                                 ,            ,0,0,F     ,0,       ,0,       ,ETIQUETA  ,MES-0146            ,ETIQUETA B-COMPLEX C/30 TABS            ,       ,PZA   ,1503,0.43,0,0,646.29,ME12177                       ,                         ,                                        ,ME12145                       
