No_facc         ,Falta_fac ,Tiponcc     ,Cve_prov,Saldo_fac           ,Nom_prov                                                                                                                                                                                                                                                      ,Falta_prov,Lim_cre     ,Dia_cre,Tels                           ,Cve_mon   ,U_tip_cam ,Des_mon                                                                         ,Ident,Grup,Post,Fech_venci,Tiponota    ,Cve_comp  ,Nom_comp                                ,Total_fac           ,Afectbanco,Fenmarca,Total1              ,Total2              ,Total3              ,Total4              ,Total5              ,Concepto       ,Cve_iva   ,No_pedc   ,No_facc_ext001  
441401GD        ,22/02/2024,            ,729,544.92,AUTOTRANSPORTES VILLARREAL SA DE CV                                                                                                                                                                                                                           ,23/08/2017,0,0,3659-9991                      ,1,17.0458,PESOS                                                                           ,FAC  ,1,0,23/02/2024,            ,4,CONTABILIDAD                            ,544.92,F         ,0,0,544.92,0,0,0,Factura        ,RET       ,0,441401GD        
804841MX        ,22/02/2024,            ,729,5141.2,AUTOTRANSPORTES VILLARREAL SA DE CV                                                                                                                                                                                                                           ,23/08/2017,0,0,3659-9991                      ,1,17.0458,PESOS                                                                           ,FAC  ,1,0,23/02/2024,            ,4,CONTABILIDAD                            ,5141.2,F         ,0,0,5141.2,0,0,0,Factura        ,RET       ,0,804841MX        
2062,15/06/2023,            ,1675,10532.29,AVISAIL FLORES LUNA                                                                                                                                                                                                                                           ,16/10/2019,0,0,2379-8099                      ,1,17.2185,PESOS                                                                           ,FAC  ,1,0,27/06/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,10532.29,F         ,0,0,0,0,0,10532.29,Factura        ,MATEMP    ,0,2062
2066,16/06/2023,            ,1675,12307.02,AVISAIL FLORES LUNA                                                                                                                                                                                                                                           ,16/10/2019,0,0,2379-8099                      ,1,17.1247,PESOS                                                                           ,FAC  ,1,0,03/07/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,12307.02,F         ,0,0,0,0,0,12307.02,Factura        ,MATEMP    ,0,2066
004156061GMC    ,04/12/2023,            ,1918,0.01,"AXA SEGUROS, S.A. DE C.V.                                                                                                                                                                                                                                     ",03/02/2021,0,0,-33,1,17.373,PESOS                                                                           ,FAC  ,1,0,05/12/2023,            ,4,CONTABILIDAD                            ,2083.93,F         ,0,0,0,0,0,0.01,Factura        ,GTO       ,0,004156061GMC    
82044CC         ,08/02/2024,            ,1859,0.02,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,172.31,F         ,0,0,0,0,0.02,0,Factura        ,GTO       ,0,82044CC         
82045CC         ,08/02/2024,            ,1859,36726.45,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,36726.45,F         ,0,0,0,0,36726.45,0,Factura        ,GTO       ,0,82045CC         
82046CC         ,08/02/2024,            ,1859,0.01,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,202.62,F         ,0,0,0,0,0.01,0,Factura        ,GTO       ,0,82046CC         
82047CC         ,08/02/2024,            ,1859,43186.37,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,43186.37,F         ,0,0,0,0,43186.37,0,Factura        ,GTO       ,0,82047CC         
82048CC         ,08/02/2024,            ,1859,0.01,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,345.23,F         ,0,0,0,0,0.01,0,Factura        ,GTO       ,0,82048CC         
82049CC         ,08/02/2024,            ,1859,74629.69,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,74629.69,F         ,0,0,0,0,74629.69,0,Factura        ,GTO       ,0,82049CC         
82051CC         ,08/02/2024,            ,1859,98899.73,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,98899.73,F         ,0,0,0,0,98899.73,0,Factura        ,GTO       ,0,82051CC         
82053CC         ,08/02/2024,            ,1859,51022.22,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,51022.22,F         ,0,0,0,0,51022.22,0,Factura        ,GTO       ,0,82053CC         
82055CC         ,08/02/2024,            ,1859,29748.91,Arrendamiento y Soluciones En Activos S.A.P.I. de C.V.                                                                                                                                                                                                        ,09/11/2020,0,0,-333,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,29748.91,F         ,0,0,0,0,29748.91,0,Factura        ,GTO       ,0,82055CC         
883,08/03/2023,            ,1919,78080,"Asociación Nacional de Distribuidores de Medicinas, A.C.                                                                                                                                                                                                      ",03/02/2021,0,0,-33,1,18.1155,PESOS                                                                           ,FAC  ,1,0,15/03/2023,            ,          ,                                        ,78080,F         ,0,0,0,0,0,78080,Factura        ,GTO       ,0,883
1829357470,18/01/2023,            ,808,269,"AutoZone de México, S. de R.L. de C.V.                                                                                                                                                                                                                        ",15/11/2017,0,0,3271-9045                      ,1,18.7493,PESOS                                                                           ,FAC  ,1,0,25/01/2023,            ,4,CONTABILIDAD                            ,269,F         ,0,0,0,0,0,269,Factura        ,GTO       ,0,1829357470
1829367470,18/01/2023,            ,808,179,"AutoZone de México, S. de R.L. de C.V.                                                                                                                                                                                                                        ",15/11/2017,0,0,3271-9045                      ,1,18.7493,PESOS                                                                           ,FAC  ,1,0,25/01/2023,            ,4,CONTABILIDAD                            ,179,F         ,0,0,0,0,0,179,Factura        ,GTO       ,0,1829367470
1057657586,31/07/2023,            ,808,298,"AutoZone de México, S. de R.L. de C.V.                                                                                                                                                                                                                        ",15/11/2017,0,0,3271-9045                      ,1,16.7338,PESOS                                                                           ,FAC  ,1,0,02/08/2023,            ,4,CONTABILIDAD                            ,298,F         ,0,0,0,0,0,298,Factura        ,GTO       ,0,1057657586
15675,15/08/2022,            ,1876,34800,BARBOSA HUERGA Y ASOCIADOS SC                                                                                                                                                                                                                                 ,01/12/2020,0,0,-33,1,19.874,PESOS                                                                           ,FAC  ,1,0,23/08/2022,            ,          ,                                        ,34800,F         ,0,0,0,0,0,34800,Factura        ,GTO       ,0,15675
16665,09/02/2023,            ,1876,17400,BARBOSA HUERGA Y ASOCIADOS SC                                                                                                                                                                                                                                 ,01/12/2020,0,0,-33,1,18.9435,PESOS                                                                           ,FAC  ,1,0,17/02/2023,            ,          ,                                        ,17400,F         ,0,0,0,0,0,17400,Factura        ,GTO       ,0,16665
17604,11/08/2023,            ,1876,9280,BARBOSA HUERGA Y ASOCIADOS SC                                                                                                                                                                                                                                 ,01/12/2020,0,0,-33,1,17.0767,PESOS                                                                           ,FAC  ,1,0,14/08/2023,            ,          ,                                        ,9280,F         ,0,0,0,0,0,9280,Factura        ,GTO       ,0,17604
18512,02/02/2024,            ,1876,13920,BARBOSA HUERGA Y ASOCIADOS SC                                                                                                                                                                                                                                 ,01/12/2020,0,0,-33,1,17.1633,PESOS                                                                           ,FAC  ,1,0,08/02/2024,            ,          ,                                        ,13920,F         ,0,0,0,0,13920,0,Factura        ,GTO       ,0,18512
18513,02/02/2024,            ,1876,10440,BARBOSA HUERGA Y ASOCIADOS SC                                                                                                                                                                                                                                 ,01/12/2020,0,0,-33,1,17.1633,PESOS                                                                           ,FAC  ,1,0,08/02/2024,            ,          ,                                        ,10440,F         ,0,0,0,0,10440,0,Factura        ,GTO       ,0,18513
6FC-85A47E2FFF9B,16/01/2024,            ,2348,58000,BASTION CAPITAL                                                                                                                                                                                                                                               ,14/11/2023,0,0,-33,1,16.858,PESOS                                                                           ,FAC  ,1,0,17/01/2024,            ,          ,                                        ,58000,F         ,0,0,0,0,0,58000,Factura        ,GTO       ,0,6FC-85A47E2FFF9B
D05-86B5CD2828F6,26/01/2024,            ,2348,58000,BASTION CAPITAL                                                                                                                                                                                                                                               ,14/11/2023,0,0,-33,1,17.1673,PESOS                                                                           ,FAC  ,1,0,29/01/2024,            ,          ,                                        ,58000,F         ,0,0,0,0,0,58000,Factura        ,GTO       ,0,D05-86B5CD2828F6
FFE-6FAF6229A497,13/02/2024,            ,2348,58000,BASTION CAPITAL                                                                                                                                                                                                                                               ,14/11/2023,0,0,-33,1,17.0855,PESOS                                                                           ,FAC  ,1,0,14/02/2024,            ,          ,                                        ,58000,F         ,0,0,0,58000,0,0,Factura        ,GTO       ,0,FFE-6FAF6229A497
223057,13/12/2023,            ,1976,8614.71,BEMIS PACKAGING MÉXICO SA DE CV                                                                                                                                                                                                                               ,22/04/2021,0,0,5899-5096                      ,2,17.3688,DOLARES                                                                         ,FAC  ,1,0,13/12/2023,            ,14,ELISEO ROSAS TORRES                     ,8614.71,F         ,0,0,0,0,0,149627.175,Factura        ,NAL       ,0,223057
233163,18/12/2023,            ,1976,7088.88,BEMIS PACKAGING MÉXICO SA DE CV                                                                                                                                                                                                                               ,22/04/2021,0,0,5899-5096                      ,2,17.299,DOLARES                                                                         ,FAC  ,1,0,18/12/2023,            ,14,ELISEO ROSAS TORRES                     ,7088.88,F         ,0,0,0,0,0,122630.5351,Factura        ,NAL       ,0,233163
FER-2010        ,10/04/2023,            ,1768,485.99,BIOEMPAK MEXICO SA DE CV                                                                                                                                                                                                                                      ,02/07/2020,0,30,3835-3654                      ,2,18.1185,DOLARES                                                                         ,FAC  ,1,0,12/05/2023,            ,14,ELISEO ROSAS TORRES                     ,1989.39,F         ,0,0,0,0,0,8805.409815,Factura        ,NAL       ,0,FER-2010        
FER-2066        ,28/04/2023,            ,1768,459.67,BIOEMPAK MEXICO SA DE CV                                                                                                                                                                                                                                      ,02/07/2020,0,30,3835-3654                      ,2,18.103,DOLARES                                                                         ,FAC  ,1,0,01/06/2023,            ,14,ELISEO ROSAS TORRES                     ,459.67,F         ,0,0,0,0,0,8321.40601,Factura        ,NAL       ,0,FER-2066        
FER2525         ,31/10/2023,            ,1768,374.23,BIOEMPAK MEXICO SA DE CV                                                                                                                                                                                                                                      ,02/07/2020,0,30,3835-3654                      ,2,18.0752,DOLARES                                                                         ,FAC  ,1,0,01/12/2023,            ,14,ELISEO ROSAS TORRES                     ,374.23,F         ,0,0,0,0,0,6764.282096,Factura        ,NAL       ,0,FER2525         
2300935,12/06/2023,            ,29,1392,BIOEXTRACTO S.A DE C.V.                                                                                                                                                                                                                                       ,23/08/2010,130000,30,5271-0343 2906-3598            ,2,17.4085,DOLARES                                                                         ,FAC  ,1,0,12/07/2023,            ,10,Jessica Fonseca                         ,1392,F         ,0,0,0,0,0,24232.632,Factura        ,NAL       ,0,2300935
2301853,12/06/2023,            ,29,34126.39,BIOEXTRACTO S.A DE C.V.                                                                                                                                                                                                                                       ,23/08/2010,130000,30,5271-0343 2906-3598            ,1,17.4085,PESOS                                                                           ,FAC  ,1,0,12/07/2023,            ,10,Jessica Fonseca                         ,34126.39,F         ,0,0,0,0,0,34126.39,Factura        ,NAL       ,0,2301853
BIO 2276        ,16/05/2016,            ,195,3000000,BIOMIRAL S.A. DE C.V.                                                                                                                                                                                                                                         ,20/08/2012,0,0,3812-3106                      ,1,19.0446,PESOS                                                                           ,FAC  ,1,0,15/01/2018,            ,          ,                                        ,3000000,F         ,0,0,0,0,0,3000000,Factura        ,SER       ,0,BIO 2276        
86E4A6          ,30/11/2021,            ,195,4941696.18,BIOMIRAL S.A. DE C.V.                                                                                                                                                                                                                                         ,20/08/2012,0,0,3812-3106                      ,1,21.7333,PESOS                                                                           ,FAC  ,1,0,02/12/2021,            ,          ,                                        ,4941696.18,F         ,0,0,0,0,0,4941696.18,Factura        ,SER       ,0,86E4A6          
310-7B19F2F08711,13/12/2021,            ,195,2180800,BIOMIRAL S.A. DE C.V.                                                                                                                                                                                                                                         ,20/08/2012,0,0,3812-3106                      ,1,20.8922,PESOS                                                                           ,FAC  ,1,0,30/12/2021,            ,          ,                                        ,2180800,F         ,0,0,0,0,0,2180800,Factura        ,SER       ,0,310-7B19F2F08711
870,04/11/2021,            ,1460,23200,BUFETE ROFA Y ASOCIADOS SC                                                                                                                                                                                                                                    ,13/03/2019,0,0,-33,1,20.8352,PESOS                                                                           ,FAC  ,1,0,08/11/2021,            ,4,CONTABILIDAD                            ,23200,F         ,0,0,0,0,0,23200,Factura        ,GTO       ,0,870
1221,18/01/2023,            ,1460,23200,BUFETE ROFA Y ASOCIADOS SC                                                                                                                                                                                                                                    ,13/03/2019,0,0,-33,1,18.7493,PESOS                                                                           ,FAC  ,1,0,24/01/2023,            ,4,CONTABILIDAD                            ,23200,F         ,0,0,0,0,0,23200,Factura        ,GTO       ,0,1221
1310,14/04/2023,            ,1460,23200,BUFETE ROFA Y ASOCIADOS SC                                                                                                                                                                                                                                    ,13/03/2019,0,0,-33,1,18.066,PESOS                                                                           ,FAC  ,1,0,20/04/2023,            ,4,CONTABILIDAD                            ,23200,F         ,0,0,0,0,0,23200,Factura        ,GTO       ,0,1310
1508,13/10/2023,            ,1460,46400,BUFETE ROFA Y ASOCIADOS SC                                                                                                                                                                                                                                    ,13/03/2019,0,0,-33,1,17.842,PESOS                                                                           ,FAC  ,1,0,17/10/2023,            ,4,CONTABILIDAD                            ,46400,F         ,0,0,0,0,0,46400,Factura        ,GTO       ,0,1508
39012SOCJ       ,07/09/2023,            ,997,280,"CAFE SIRENA, S. DE R.L. DE C.V.                                                                                                                                                                                                                               ",04/04/2018,0,0,3333-3333 -                    ,1,17.3492,PESOS                                                                           ,FAC  ,1,0,25/09/2023,            ,1,NO USAR                                 ,280,F         ,0,0,0,0,0,280,Factura        ,GTO       ,0,39012SOCJ       
61676SCNUI      ,09/10/2023,            ,997,107,"CAFE SIRENA, S. DE R.L. DE C.V.                                                                                                                                                                                                                               ",04/04/2018,0,0,3333-3333 -                    ,1,18.2407,PESOS                                                                           ,FAC  ,1,0,27/10/2023,            ,1,NO USAR                                 ,107,F         ,0,0,0,0,0,107,Factura        ,GTO       ,0,61676SCNUI      
4642SNBBCC      ,22/11/2023,            ,997,184,"CAFE SIRENA, S. DE R.L. DE C.V.                                                                                                                                                                                                                               ",04/04/2018,0,0,3333-3333 -                    ,1,17.2175,PESOS                                                                           ,FAC  ,1,0,24/11/2023,            ,1,NO USAR                                 ,184,F         ,0,0,0,0,0,184,Factura        ,GTO       ,0,4642SNBBCC      
11507FA         ,01/12/2022,            ,1786,24214.25,CAMARA NACIONAL DE LA INDUSTRIA FARMACEUTICA                                                                                                                                                                                                                  ,13/08/2020,0,0,-33,1,19.3965,PESOS                                                                           ,FAC  ,1,0,09/12/2022,            ,          ,                                        ,24214.25,F         ,0,0,0,0,0,24214.25,Factura        ,GTO       ,0,11507FA         
13935-A         ,13/10/2023,            ,938,2721.36,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.842,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,2721.36,F         ,0,0,0,0,0,2721.36,Factura        ,NAL       ,0,13935-A         
13936,13/10/2023,            ,938,7014.91,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.842,PESOS                                                                           ,FAC  ,1,0,17/10/2023,            ,4,CONTABILIDAD                            ,10968.96,F         ,0,0,0,0,0,7014.91,Factura        ,NAL       ,0,13936
13937,13/10/2023,            ,938,925.68,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.842,PESOS                                                                           ,FAC  ,1,0,17/10/2023,            ,4,CONTABILIDAD                            ,925.68,F         ,0,0,0,0,0,925.68,Factura        ,NAL       ,0,13937
13951-A         ,17/10/2023,            ,938,2777.04,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.0362,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,2777.04,F         ,0,0,0,0,0,2777.04,Factura        ,NAL       ,0,13951-A         
13974-A         ,18/10/2023,            ,938,2268.96,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.9568,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,2268.96,F         ,0,0,0,0,0,2268.96,Factura        ,NAL       ,0,13974-A         
13975-A         ,18/10/2023,            ,938,925.68,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.9568,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,925.68,F         ,0,0,0,0,0,925.68,Factura        ,NAL       ,0,13975-A         
13985-A         ,19/10/2023,            ,938,2280.56,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.9097,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,2280.56,F         ,0,0,0,0,0,2280.56,Factura        ,NAL       ,0,13985-A         
13986-A         ,19/10/2023,            ,938,462.84,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.9097,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,462.84,F         ,0,0,0,0,0,462.84,Factura        ,NAL       ,0,13986-A         
13993-A         ,20/10/2023,            ,938,925.68,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.244,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,925.68,F         ,0,0,0,0,0,925.68,Factura        ,NAL       ,0,13993-A         
14006-A         ,23/10/2023,            ,938,925.68,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.2873,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,925.68,F         ,0,0,0,0,0,925.68,Factura        ,NAL       ,0,14006-A         
14007-A         ,23/10/2023,            ,938,5091.24,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.2873,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,5091.24,F         ,0,0,0,0,0,5091.24,Factura        ,NAL       ,0,14007-A         
14008-A         ,23/10/2023,            ,938,4165.56,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.2873,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,4165.56,F         ,0,0,0,0,0,4165.56,Factura        ,NAL       ,0,14008-A         
14026-A         ,25/10/2023,            ,938,1851.36,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.1218,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,1851.36,F         ,0,0,0,0,0,1851.36,Factura        ,NAL       ,0,14026-A         
14027,25/10/2023,            ,938,462.84,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.1218,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,462.84,F         ,0,0,0,0,0,462.84,Factura        ,NAL       ,0,14027
14033-A         ,27/10/2023,            ,938,1388.52,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.3122,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,1388.52,F         ,0,0,0,0,0,1388.52,Factura        ,NAL       ,0,14033-A         
14034-A         ,27/10/2023,            ,938,925.68,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.3122,PESOS                                                                           ,FAC  ,1,0,06/11/2023,            ,4,CONTABILIDAD                            ,925.68,F         ,0,0,0,0,0,925.68,Factura        ,NAL       ,0,14034-A         
14057,01/11/2023,            ,938,5091.24,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.064,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,5091.24,F         ,0,0,0,0,0,5091.24,Factura        ,NAL       ,0,14057
14070,01/11/2023,            ,938,5554.08,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.064,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,5554.08,F         ,0,0,0,0,0,5554.08,Factura        ,NAL       ,0,14070
14071,01/11/2023,            ,938,1851.36,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.064,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,1851.36,F         ,0,0,0,0,0,1851.36,Factura        ,NAL       ,0,14071
14077,02/11/2023,            ,938,462.84,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.0368,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,462.84,F         ,0,0,0,0,0,462.84,Factura        ,NAL       ,0,14077
14078,02/11/2023,            ,938,1851.36,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.0368,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,1851.36,F         ,0,0,0,0,0,1851.36,Factura        ,NAL       ,0,14078
14086,03/11/2023,            ,938,925.68,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.0368,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,925.68,F         ,0,0,0,0,0,925.68,Factura        ,NAL       ,0,14086
14087,03/11/2023,            ,938,2777.04,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,18.0368,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,2777.04,F         ,0,0,0,0,0,2777.04,Factura        ,NAL       ,0,14087
14111,08/11/2023,            ,938,925.68,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.5308,PESOS                                                                           ,FAC  ,1,0,10/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,925.68,F         ,0,0,0,0,0,925.68,Factura        ,NAL       ,0,14111
14112,08/11/2023,            ,938,2777.04,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.5308,PESOS                                                                           ,FAC  ,1,0,10/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,2777.04,F         ,0,0,0,0,0,2777.04,Factura        ,NAL       ,0,14112
14125,13/11/2023,            ,938,2777.04,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.4888,PESOS                                                                           ,FAC  ,1,0,13/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,2777.04,F         ,0,0,0,0,0,2777.04,Factura        ,NAL       ,0,14125
14126,13/11/2023,            ,938,462.84,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.4888,PESOS                                                                           ,FAC  ,1,0,13/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,462.84,F         ,0,0,0,0,0,462.84,Factura        ,NAL       ,0,14126
14127,13/11/2023,            ,938,462.84,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.4888,PESOS                                                                           ,FAC  ,1,0,13/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,462.84,F         ,0,0,0,0,0,462.84,Factura        ,NAL       ,0,14127
14159,13/11/2023,            ,938,1388.52,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.4888,PESOS                                                                           ,FAC  ,1,0,13/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,1388.52,F         ,0,0,0,0,0,1388.52,Factura        ,NAL       ,0,14159
14161,13/11/2023,            ,938,1388.52,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.4888,PESOS                                                                           ,FAC  ,1,0,13/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,1388.52,F         ,0,0,0,0,0,1388.52,Factura        ,NAL       ,0,14161
14162,13/11/2023,            ,938,925.68,CAPACITACION PARA EL DESARROLLO TURISTICO E INDUSTRIAL S.C.                                                                                                                                                                                                   ,01/03/2018,0,0,3658-3010                      ,1,17.4888,PESOS                                                                           ,FAC  ,1,0,13/11/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,925.68,F         ,0,0,0,0,0,925.68,Factura        ,NAL       ,0,14162
